Timestamp,Open,High,Low,Close,Volume,Quantity
1645228740000,39992,39996,39984.1,39984.1,0.66795889,26715.33927091
1645228680000,40017.9,40017.9,39990,39992,1.0964314,43858.77272333
1645228620000,40000,40018,39994.1,40018,1.38368121,55344.17778018
1645228560000,39987.1,40000,39986,40000,0.71890891,28748.61788799
1645228500000,40002,40002.1,39987.1,39987.1,0.23363724,9344.33283474
1645228440000,39988.1,40006,39984,40003.5,0.94664416,37858.23000833
1645228380000,40041.7,40041.7,39988.1,39988.1,1.11477133,44598.54419057
1645228320000,40037.5,40041.7,40037.5,40041.7,0.18875347,7557.84454587
1645228260000,40038,40047.9,40036,40037.5,1.1079653,44367.5026287
1645228200000,40040,40053.9,40038,40038.1,0.84989951,34030.26223988
1645228140000,40068,40068.1,40040,40040.1,0.51591366,20663.20695319
1645228080000,40060.9,40076.3,40060.9,40068,0.49292117,19749.36435842
1645228020000,40032.1,40066,40032.1,40060.8,2.49930675,100095.96712423
1645227960000,40036,40038,40032.1,40032.1,0.47300952,18937.93111543
1645227900000,40048,40058,40028,40036,1.0602054,42455.50253151
1645227840000,40054.2,40063.9,40047.9,40047.9,0.49183301,19701.63550434
1645227780000,40054.1,40063.9,40054.1,40054.2,0.37970379,15211.04142338
1645227720000,40054.1,40054.1,40054,40054.1,0.33518222,13425.39054389
1645227660000,40052.1,40071.3,40052.1,40054.1,4.43819849,177788.43175353
1645227600000,40040.1,40062,40040,40052,0.73821575,29568.27683353
1645227540000,40034,40044,40034,40040.1,0.35736555,14308.4568498
1645227480000,40034,40034,40033.9,40033.9,0.278879,11164.63592418
1645227420000,40005.9,40042,40005.9,40033.9,1.94589922,77851.03324459
1645227360000,40011.8,40011.9,40001,40006,0.75345644,30142.78531683
1645227300000,40029.9,40029.9,40006,40011.9,0.41265355,16510.50295047
1645227240000,40042,40042.1,40012.1,40030,1.0945877,43814.64169919
1645227180000,40062.1,40074,40042,40042.1,1.68557589,67535.13028501
1645227120000,40064,40072,40062,40062.1,0.79095313,31691.98035238
1645227060000,40045.9,40078,40045.9,40066,0.89199117,35742.9153393
1645227000000,40051,40060.2,40042.1,40045.9,0.27409098,10976.2535215
1645226940000,40042,40050.9,40042,40050.9,0.64334306,25761.22702561
1645226880000,40042,40042.1,40042,40042,0.14451313,5786.59607257
1645226820000,40044,40044,40042,40042.1,0.22604232,9051.59580131
1645226760000,40038,40056,40038,40043.9,0.35851014,14357.24774326
1645226700000,40043.9,40043.9,40006,40037.9,0.95617859,38265.82819065
1645226640000,40038,40050,40036.2,40044,1.1829897,47368.49379816
1645226580000,40046,40056.7,40040,40040,0.79168954,31705.04834175
1645226520000,40007.9,40046,40007.8,40046,0.7270302,29103.45681933
1645226460000,40007.9,40007.9,40004,40007.8,0.3359471,13439.48696046
1645226400000,39987.7,40009.9,39987.6,40007.8,0.95779162,38307.32802022
1645226340000,39996,39996,39974,39987.6,3.58400792,143289.48485655
1645226280000,40008,40008,39996,39996.1,1.71044334,68430.39475245
1645226220000,40018,40018.1,40000.1,40007.9,1.41548126,56635.19762046
1645226160000,40022.1,40024,40020,40020,1.28288485,51343.34402366
1645226100000,40021.8,40034,40020.1,40022.1,0.92292911,36936.529254
1645226040000,40028,40037.7,40021.8,40021.8,1.15182498,46101.78050084
1645225980000,40036,40038,40012,40026,0.37580713,15039.86696223
1645225920000,40036,40036,40032.1,40035.9,0.56422198,22587.25197995
1645225860000,40017.8,40042,40017.8,40036,0.74645059,29876.31876174
1645225800000,40014,40022,40004,40017.8,0.57712807,23092.42146325
1645225740000,40018,40019.9,40014,40014.1,0.48922634,19578.05632424
1645225680000,40002,40018,39984,40018,0.95702726,38272.6034767
1645225620000,39982.1,40014.2,39982.1,40004,1.2622663,50483.29874752
1645225560000,39989,39989,39982.1,39982.1,0.45162641,18058.76028773
1645225500000,40012,40056.6,39990,39990,4.45388918,178223.69873635
1645225440000,39898,40012.8,39898,40012,2.65465022,106122.36664037
1645225380000,39898,39903.9,39897.9,39898,0.12113307,4833.0244895
1645225320000,39956.9,39956.9,39888.1,39898,1.19984985,47893.13606408
1645225260000,39954,39957.8,39954,39957.7,1.15913961,46316.4599387
1645225200000,39944,39954,39941.6,39953.9,0.33727801,13472.33116423
1645225140000,39967,39967,39940,39944,2.07196642,82773.5666466
1645225080000,39968,39968.1,39968,39968,0.04157155,1661.53182715
1645225020000,39945.2,39968.1,39945.2,39968,0.5302037,21183.6788343
1645224960000,39944.1,39946.9,39944,39945.2,0.03535286,1412.16613426
1645224900000,39957.9,39958,39944.1,39944.1,0.39794406,15899.22546633
1645224840000,39954,39958,39944,39957.9,0.63044929,25188.88086767
1645224780000,39956,39959.9,39950,39954,0.97538096,38973.36013713
1645224720000,39934,39956.1,39932,39956.1,2.62957721,105041.4002985
1645224660000,39886.2,39934,39886.1,39934,0.84281234,33626.83924559
1645224600000,39891.9,39892,39886.1,39886.2,0.24114074,9619.25683186
1645224540000,39908,39908,39888.9,39890,2.63156,105004.13647461
1645224480000,39929.9,39930,39910,39910,3.61325692,144270.50944152
1645224420000,39922.1,39929.9,39922.1,39929.9,0.60230636,24047.67139514
1645224360000,39912,39922.1,39906,39922.1,0.3480949,13894.47410837
1645224300000,39946.1,39946.1,39912,39912,0.57172915,22829.90588418
1645224240000,39946,39946.1,39946,39946,0.27958719,11168.39003704
1645224180000,39950,39950,39946,39946,0.19583746,7822.95057185
1645224120000,39958.1,39958.1,39950,39950,0.08911061,3560.6388665
1645224060000,39973.5,39973.5,39958,39958.1,0.10914259,4361.88231927
1645224000000,39971.2,39975,39971.2,39973.5,1.17646742,47027.71924605
1645223940000,39946.1,39970,39946.1,39970,0.57039939,22791.343132
1645223880000,39886.8,39946.2,39882,39946.1,2.16549836,86405.05208943
1645223820000,39904,39904,39886.8,39886.8,0.29102288,11609.65638243
1645223760000,39945.7,39945.7,39905.6,39905.6,0.44657823,17835.09627482
1645223700000,39893.9,39948,39893.9,39942.1,0.86828771,34658.42462549
1645223640000,39888.2,39894,39879.1,39893.9,0.19363399,7723.51513624
1645223580000,39908,39908,39884,39890,0.3168534,12641.91452229
1645223520000,39899.9,39908,39899.9,39908,0.22653073,9039.80036155
1645223460000,39884,39900,39884,39899.9,0.45187463,18028.6560248
1645223400000,39847.8,39884,39846.1,39884,0.34376608,13702.34625292
1645223340000,39845.7,39847.8,39842.9,39847.8,0.45457533,18112.08367316
1645223280000,39866.4,39866.4,39844.8,39845.7,1.92354573,76659.99839836
1645223220000,39918,39918.1,39866.3,39866.3,1.5169822,60539.22130685
1645223160000,39950,39950.1,39916.1,39918,0.69793354,27868.01501609
1645223100000,39903.9,39952.7,39903.8,39950.1,1.65027658,65880.53195892
1645223040000,39903.5,39904,39896,39904,0.93260422,37213.86073246
1645222980000,39891.9,39903.5,39889.8,39903.5,1.70609004,68057.89296539
1645222920000,39907.3,39907.3,39889.7,39892.6,1.49808937,59764.3889163
1645222860000,39864,39920,39864,39907.4,1.4079064,56177.07111598
1645222800000,39849.9,39864,39814.3,39864,0.953413,37983.52202764
1645222740000,39811.2,39849.9,39811.2,39849.8,0.31301559,12468.83705412
1645222680000,39790,39811.3,39778,39811.2,1.42174974,56570.0784038
1645222620000,39784,39788,39740,39788,1.28736182,51195.60072361
1645222560000,39876,39883.7,39784,39784,2.1356312,85080.5462672
1645222500000,39812,39874,39812,39874,0.22191243,8840.83036478
1645222440000,39795.3,39810,39794.1,39810,0.5863659,23335.43599399
1645222380000,39782,39802,39780.1,39795.3,0.61918847,24636.31917757
1645222320000,39790.1,39793.9,39782,39782,0.37097538,14761.00889876
1645222260000,39833.2,39837.9,39792,39792,0.50701291,20188.58444069
1645222200000,39802,39873,39802,39833.2,1.65607763,65994.45099618
1645222140000,39795.2,39808,39775.1,39800,7.40725821,294735.42024324
1645222080000,39872.1,39872.1,39775,39795.2,6.20328797,246993.47561793
1645222020000,39878,39908,39874,39874,1.12614285,44915.98649387
1645221960000,39842.4,39904,39842.4,39878,3.64133851,145205.47921828
1645221900000,39957.8,39957.8,39838.7,39842.4,10.70923854,427161.0918006
1645221840000,39942,39957.9,39936,39957.9,1.21713346,48613.16546344
1645221780000,40044.1,40044.2,39942,39942,0.98537865,39386.73037278
1645221720000,40030.5,40044.2,40030.4,40044.2,1.31634577,52704.64681355
1645221660000,39902.1,40046,39902.1,40032,5.49748316,219931.62455303
1645221600000,39969.7,39969.7,39890,39902.1,1.85948909,74239.30864301
1645221540000,39982.6,39982.6,39969.7,39969.8,1.05471793,42164.25563737
1645221480000,39992,39992,39974.2,39982.6,0.32008949,12797.85062787
1645221420000,40018,40018,39982,39992.1,2.68256803,107286.93607264
